Title,Price,CurrencyIso,Url,Refurbished,Model,MPN,Brand,UpdateTime,Category,Source,Grade
"Apple MacBook Pro 2017 | 15.4"" | Touch Bar",454.99,EUR,https://www.refurbed.de/p/apple-macbook-pro-2017-15-4-touc/,True,2.8 GHz | 16 GB | 256 GB SSD | Radeon Pro 555 | spacegrau | DE | Grade C (2604),"Apple MacBook Pro 2017 | 15.4"" | Touch Bar 2.8 GHz | 16 GB | 256 GB SSD | Radeon Pro 555 | spacegrau | DE c",Apple,2025-04-13T06:12:07.970965,Laptops,50,C
"Apple MacBook Pro 2020 | 13.3"" | Touch Bar",530.5,EUR,https://www.refurbed.de/p/apple-macbook-pro-2020-133-tb/,True,i5-8257U | 8 GB | 256 GB SSD | 2 x Thunderbolt 3 | silber | US | Grade A (14260),"Apple MacBook Pro 2020 | 13.3"" | Touch Bar | i5-8257U | 8 GB | 256 GB SSD | 2 x Thunderbolt 3 | silver | US A",Apple,2025-04-13T06:12:07.971001,Laptops,50,A
ASUS ZenBook 14 (UX434FAC-A5164T),775.5,EUR,https://www.refurbed.de/p/asus-zenbook-14-i5/,True,8 GB | 512 GB SSD | 32 GB Optane | Win 10 Home | DE | Grade B (6702),,ASUS,2025-04-13T06:12:07.971230,Laptops,50,B
"Laptop Charger (65W) & Cable (USB-C, 2m)",49.99,EUR,https://www.refurbed.de/p/bundle-laptop-ch-65w-ca-100w/,True,weiß | Grade A (256788),FD-BNDL-USBC-65W-100W,,2025-04-13T06:12:07.971325,Accessories,50,A
"Dell Latitude 14 9410 2-in-1 | i5-10310U | 14""",679.99,EUR,https://www.refurbed.de/p/dell-latitude-14-9410-2-1-10310u/,True,16 GB | 256 GB SSD | Tastaturbeleuchtung | grau | Win 11 Pro | DE | Grade B (128497),"Dell Latitude 14 9410 2-in-1 | i5-10310U | 14"" (16 GB | 256 GB SSD | Backlit keyboard | gray | Win 11 Pro | DE) / B",Dell,2025-04-13T06:12:07.972056,Laptops,50,B
"Dell Latitude 5400 | i7-8665U | 14""",368.99,EUR,https://www.refurbed.de/p/dell-latitude-5400-8665u/,True,16 GB | 256 GB SSD | FHD | Webcam | Tastaturbeleuchtung | Win 11 Pro | DE | Grade C (215821),"Dell Latitude 5400 | i7-8665U | 14"" (16 GB | 256 GB SSD | FHD | Webcam | Backlit keyboard | Win 11 Pro | DE) / C",Dell,2025-04-13T06:12:07.972477,Laptops,50,C
"Dell Latitude 5501 | i7-9850H | 15.6""",573.99,EUR,https://www.refurbed.de/p/dell-latitude-5501-i7-9850h-15/,True,16 GB | 512 GB SSD | FHD | Tastaturbeleuchtung | MX150 | Win 11 Pro | DE | Grade C (205166),"Dell Latitude 5501 | i7-9850H | 15.6"" (16 GB | 512 GB SSD | FHD | Backlit keyboard | MX150 | Win 11 Pro | DE) / C",Dell,2025-04-13T06:12:07.972776,Laptops,50,C
"Dell Latitude E5450 | i5-5300U | 14""",189.99,EUR,https://www.refurbed.de/p/dell-latitude-e5450-i5-5300u-14/,True,8 GB | 128 GB SSD | WXGA | Win 10 Pro | DE | Grade A (8982),,Dell,2025-04-13T06:12:07.973526,Laptops,50,A
"Dell Latitude E5570 | i5-6300U | 15.6""",284.99,EUR,https://www.refurbed.de/p/dell-latitude-e5570-i5-6300u-15-/,True,8 GB | 256 GB SSD | FHD | 4G | Tastaturbeleuchtung | Win 10 Pro | DE | Grade C (6007),"Dell Latitude E5570 | i5-6300U | 15.6"" (8 GB | 256 GB SSD | FHD | 4G | Backlit keyboard | Win 10 Pro | DE) / C",Dell,2025-04-13T06:12:07.973614,Laptops,50,C
"Dell Latitude E7450 Ultrabook | i5-5300U | 14""",206.5,EUR,https://www.refurbed.de/p/dell-latitude-e7450-ultrabook-i5/,True,4 GB | 120 GB SSD | FHD | Webcam | Win 10 Pro | DE | Grade C (5682),"Dell Latitude E7450 Ultrabook | i5-5300U | 14"" (4 GB | 120 GB SSD | FHD | Webcam | Win 10 Pro | DE) C",Dell,2025-04-13T06:12:07.973732,Laptops,50,C
