Title,Price,CurrencyIso,Url,Refurbished,Model,MPN,Brand,UpdateTime,Category,Source,Grade
"Samsung Galaxy Book S W767 | Snapdragon 8cx | 13.3""",663.5,EUR,https://www.refurbed.de/p/samsung-glxy-book-s-w767-8cx/,True,8 GB | 256 GB SSD | Mercury Grey | Win 10 Home | DE | Grade B (6953),"Samsung Galaxy Book S W767 | Snapdragon 8cx | 13.3"" (8 GB | 256 GB SSD | Mercury Gray | Win 10 Home | DE) B",Samsung,2025-04-08T16:00:21.488195,Laptops,50,B
"Lenovo ThinkPad L380 Yoga | i5-8250U | 13.3""",340.99,EUR,https://www.refurbed.de/p/lenovo-thinkpad-l380-yoga-8250/,True,8 GB | 256 SSD | schwarz | Tastaturbeleuchtung | Touch | FP | Stylus | Win 11 Pro | DE | Grade C (297720),"Lenovo ThinkPad L380 Yoga | i5-8250U | 13.3"" (8 GB | 256 SSD | black | Backlit keyboard | Touch | FP | Stylus | Win 11 Pro | DE) / C",Lenovo,2025-04-08T16:00:21.488218,Laptops,50,C
"Dell Precision 5530 2-in-1 | i7-8706G | 15.6""",787.5,EUR,https://www.refurbed.de/p/dell-precision-5530-2in1-i78607g/,True,16 GB | 512 GB SSD | Radeon RX Vega M GL | Win 10 Pro | DE | Grade C (127187),"Dell Precision 5530 2-in-1 | i7-8706G | 15.6"" (16 GB | 512 GB SSD | Radeon RX Vega M GL | Win 10 Pro | DE) C",Dell,2025-04-08T16:00:21.488571,Laptops,50,C
"Lenovo ThinkPad Yoga X380 | i5-8250U | 13.3""",340.99,EUR,https://www.refurbed.de/p/lenovo-tp-yoga-x380-8250u/,True,8 GB | 256 GB SSD | Touch | FP | Tastaturbeleuchtung | Win 11 Pro | DE | Grade C (28603),"Lenovo ThinkPad Yoga X380 | i5-8250U | 13.3"" (8 GB | 256 GB SSD | Touch | FP | Backlit keyboard | Win 11 Pro | DE) / C",Lenovo,2025-04-08T16:00:21.488818,Laptops,50,C
"Lenovo ThinkPad L380 Yoga | i7-8550U | 13.3""",351.99,EUR,https://www.refurbed.de/p/lenovo-thinkpad-l380-yoga-8550u/,True,8 GB | 256 SSD | Tastaturbeleuchtung | schwarz | Win 11 Pro | DE | Grade C (297719),"Lenovo ThinkPad L380 Yoga | i7-8550U | 13.3"" (8 GB | 256 SSD | Backlit keyboard | black | Win 11 Pro | DE) / 	 Lenovo ThinkPad L380 Yoga | i7-8550U | 13.3"" (8 GB | 256 SSD | Backlit keyboard | black | Win 11 Pro | DE) / C",Lenovo,2025-04-08T16:00:21.489796,Laptops,50,C
"HP ZBook Fury 16 G10 | i7-13850HX | 16""",3102.99,EUR,https://www.refurbed.de/p/hp-zbook-fury-16-g10-13850hx-16/,True,32 GB | 1 TB SSD | WUXGA | FP | Tastaturbeleuchtung | RTX 3500 Ada | Win 11 Pro | DE | Grade A (109914),"NEU A HP ZBook Fury 16 G10 | i7-13850HX | 16"" (32 GB | 1 TB SSD | WUXGA | FP | RTX 3500 Ada | Win 11 Pro | DE)",HP,2025-04-08T16:00:21.490681,Laptops,50,A
"HP EliteBook 840 G3 | i3-6100U | 14""",364.5,EUR,https://www.refurbed.de/p/hp-elitebook-840-g3-14-6100u/,True,8 GB | 128 GB SSD | WXGA | Tastaturbeleuchtung | Win 10 Pro | DE | Grade C (87178),"HP EliteBook 840 G3 | i3-6100U | 14"" (8 GB | 128 GB SSD | WXGA | Backlit keyboard | Win 10 Pro | DE) C",HP,2025-04-08T16:00:21.491354,Laptops,50,C
"Dell Latitude 7490 | i7-8650U | 14""",410.99,EUR,https://www.refurbed.de/p/dell-latitude-7490-8650u/,True,16 GB | 512 GB SSD | FHD | Webcam | Tastaturbeleuchtung | Win 11 Pro | DE | Grade A (45663),"Dell Latitude 7490 | i7-8650U | 14"" (16 GB | 512 GB SSD | FHD | Webcam | Backlit keyboard | Win 11 Pro | DE)",Dell,2025-04-08T16:00:21.491464,Laptops,50,A
"Dell Latitude 14 9410 2-in-1 | i5-10310U | 14""",684.99,EUR,https://www.refurbed.de/p/dell-latitude-14-9410-2-1-10310u/,True,16 GB | 256 GB SSD | Tastaturbeleuchtung | grau | Win 11 Pro | DE | Grade B (128497),"Dell Latitude 14 9410 2-in-1 | i5-10310U | 14"" (16 GB | 256 GB SSD | Backlit keyboard | gray | Win 11 Pro | DE) / B",Dell,2025-04-08T16:00:21.491568,Laptops,50,B
"Dell Precision 5540 | i7-9750H | 15.6""",720.0,EUR,https://www.refurbed.de/p/dell-precision-5540-i7-9750h/,True,16 GB | 512 GB SSD | FHD | T1000 | schwarz/silber | Win 10 Pro | FI | Grade B (147645),"Dell Precision 5540 | i7-9750H | 15.6"" (16 GB | 512 GB SSD | FHD | T1000 | black/silver | Win 10 Pro | FI) B",Dell,2025-04-08T16:00:21.491814,Laptops,50,B
