Title,Price,CurrencyIso,Url,Refurbished,Model,MPN,Brand,UpdateTime,Category,Source,Grade
Acer Chromebook Spin 11 R751T Celeron 1.1 GHz 32GB eMMC - 4GB AZERTY - Französisch,"132,99",EUR,https://www.backmarket.de/de-de/p/acer-chromebook-spin-11-r751t-celeron-11-ghz-32gb-emmc-4gb-azerty-franzosisch/9c9a07e7-b3cd-4ecf-9289-703544288090,True,,,Acer,2025-04-25T15:30:54.274509,,25,C
Acer Chromebook Spin 11 R751T Celeron 1.1 GHz 32GB eMMC - 4GB QWERTZ - Deutsch,"132,99",EUR,https://www.backmarket.de/de-de/p/acer-chromebook-spin-11-r751t-celeron-11-ghz-32gb-emmc-4gb-qwertz-deutsch/3c8c2d9a-3295-4492-9416-07123b832ab0,True,,,Acer,2025-04-25T15:31:14.193240,,25,C
Acer ChromeBook Spin 511 R752T Celeron 1.1 GHz 32GB eMMC - 4GB QWERTY - Spanisch,"132,99",EUR,https://www.backmarket.de/de-de/p/acer-chromebook-spin-511-r752t-celeron-11-ghz-32gb-emmc-4gb-qwerty-spanisch/97853bed-5b02-433a-84c8-3d8685740029,True,,,Acer,2025-04-25T15:32:09.039115,,25,C
Acer Chromebook Spin 512 Celeron 1.1 GHz 32GB eMMC - 4GB QWERTY - Spanisch,"113,99",EUR,https://www.backmarket.de/de-de/p/acer-chromebook-spin-512-celeron-11-ghz-32gb-emmc-4gb-qwerty-spanisch/a7afbb3e-4d86-4258-ae6f-4d734c339c92,True,,,Acer,2025-04-25T15:33:24.908239,,25,C
Acer Chromebook Spin 512 Pentium Silver 1.1 GHz 64GB SSD - 8GB QWERTY - Englisch,"189,00",EUR,https://www.backmarket.de/de-de/p/acer-chromebook-spin-512-pentium-silver-11-ghz-64gb-ssd-8gb-qwerty-englisch/705eca1a-6d97-4726-ab2b-01a7f7ca718b,True,,,Acer,2025-04-25T15:34:00.113102,,25,B
Acer ChromeBook Spin R751TN Celeron 1.1 GHz 32GB eMMC - 4GB QWERTY - Schwedisch,"132,99",EUR,https://www.backmarket.de/de-de/p/acer-chromebook-spin-r751tn-celeron-11-ghz-32gb-emmc-4gb-qwerty-schwedisch/6dc2095f-4ddd-4421-bc17-c93bd8f9cf55,True,,,Acer,2025-04-25T15:35:14.220382,,25,C
"Acer Extensa EX2511-32AS 15"" Core i3 1.7 GHz - HDD 500 GB - 4GB AZERTY - Französisch","399,00",EUR,https://www.backmarket.de/de-de/p/acer-extensa-ex2511-32as-15-core-i3-2-ghz-hdd-500-gb-4gb/747ac5da-a1fe-44b2-8064-dfbc38464aaa,True,,,Acer,2025-04-25T15:36:08.516152,Laptops,25,A
"Acer Nitro 16 16"" Ryzen 9 4 GHz - SSD 1000 GB - 16GB - NVIDIA GeForce RTX 4060 8GB QWERTY - Italienisch","2.218,00",EUR,https://www.backmarket.de/de-de/p/acer-nitro-16-16-ryzen-9-4-ghz-ssd-1000-gb-16gb-nvidia-geforce-rtx-4060-8gb-qwerty-italienisch/4f79637a-5f47-4060-9ae9-6afac9a4b7e7,True,,,Acer,2025-04-25T15:36:43.694024,Laptops,25,A
"Acer Nitro 5 AN515-55-57WU 15"" Core i5 2.5 GHz - SSD 512 GB - 16GB - NVIDIA GeForce RTX 3060 AZERTY - Französisch","1.090,80",EUR,https://www.backmarket.de/de-de/p/acer-nitro-5-an515-55-57wu-15-core-i5-25-ghz-ssd-1-tb-16gb-nvidia-geforce-rtx-3060-azerty-franzosisch/b6603295-6462-48c3-9d7a-2c9e0e1aad32,True,,,Acer,2025-04-25T15:37:35.934266,Laptops,25,C
"Acer Nitro 5 AN515-57-5194 15"" Core i5 2.7 GHz - SSD 512 GB - 16GB - NVIDIA GeForce RTX 3050 AZERTY - Französisch","972,00",EUR,https://www.backmarket.de/de-de/p/acer-nitro-5-an515-57-5194-processeur-intel-core-i5-11400h-22-ghz-ssd-512-gb-16-gb-nvidia-geforce-rtx-3050/7bb34982-36c0-4cd6-afe9-847b34157069,True,,,Acer,2025-04-25T15:37:55.602477,Laptops,25,A
"Acer Nitro 5 AN515-58-7290 15"" Core i7 4.9 GHz - SSD 512 GB - 16GB - NVIDIA GeForce RTX 4060 AZERTY - Französisch","1.199,00",EUR,https://www.backmarket.de/de-de/p/acer-nitro-5-an515-58-7290-15-49-ghz-512-gb-ssd-16gb-rtx-4060-azerty-franzosisch/89c6b413-2029-4311-a5db-9bc0887b2a48,True,,,Acer,2025-04-25T15:38:37.508480,Laptops,25,C
